#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-11-08T20:40:22 [V7.32.5]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-11-08T20:40:22	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=II/294/sdss7
#-nav=cat:II/294&tab:{II/294/sdss7}&key:source=sdss&HTTPPRM:&&-ref=VIZ654bef3a1f6b55&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&mode==1&-out=objID&-out=umag&-out=e_umag&-out=rmag&-out=e_rmag&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=II/294/sdss7
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=II/294/sdss7
#mode==1
#-out=objID
#-out=umag
#-out=e_umag
#-out=rmag
#-out=e_rmag
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.5	
#INFO	-out.max=unlimited	
#INFO	-c=000.000000+00.000000,rm=2.	
#Constraint -bmark=POST

#RESOURCE=yCat_2294
#Name: II/294
#Title: The SDSS Photometric Catalog, Release 7 (Adelman-McCarthy+, 2009)
#INFO	ivoid=ivo://cds.vizier/ii/294	
#INFO	publisher=CDS	
#INFO	creator=Adelman-McCarthy J.K. et al.	
#INFO	related_resource=bibcode:2009ApJS..182..543A	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/II/294	
#INFO	publication_date=2018-10-08	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Coosys	H:	ICRS
#Table	II_294_sdss7:
#Name: II/294/sdss7
#Title: * output of the SDSS photometric catalog
#Column	objID	(I18)	SDSS unique object identifier (2)	[ucd=meta.id;meta.main]
#Column	umag	(F6.3)	? Model magnitude in u filter (u) (5)	[ucd=phot.mag;em.opt.U]
#Column	e_umag	(F6.3)	? Mean error on umag (err_u)	[ucd=stat.error;phot.mag;em.opt.U]
#Column	rmag	(F6.3)	? Model magnitude in r filter (r) (5)	[ucd=phot.mag;em.opt.R]
#Column	e_rmag	(F6.3)	? Mean error on rmag (err_r)	[ucd=stat.error;phot.mag;em.opt.R]
objID	umag	e_umag	rmag	e_rmag
 	mag	mag	mag	mag
------------------	------	------	------	------
587731186203886251	24.994	 1.069	22.454	 0.158
588015509269381254	25.421	 1.145	20.438	 0.035
587731186203886256	24.687	 1.465	21.993	 0.159
587731186203885743	21.459	 0.135	18.446	 0.009
587731186203886039	22.356	 0.435	20.553	 0.052
587731186203886047	22.394	 0.440	21.137	 0.085
587731186203886055	24.603	 1.687	20.926	 0.068
587731186203886266	25.949	 0.923	21.784	 0.142
587731186203886063	23.104	 0.537	21.604	 0.080
587731186203886424	23.737	 0.819	23.506	 0.377
587731186203885747	20.388	 0.059	18.152	 0.008
587731186203886379	24.604	 1.445	22.486	 0.224
587731186203886077	23.054	 0.503	22.717	 0.200
587731186203886078	23.603	 0.927	21.573	 0.096
587731186203886283	23.706	 1.069	21.370	 0.091
587731186203885796	23.542	 0.739	19.556	 0.016
587731186203951689	23.408	 0.923	22.201	 0.193
587731186203951691	24.096	 0.964	21.954	 0.102
587731186203951694	25.365	 0.962	22.138	 0.136
587731186203951372	22.366	 0.472	20.864	 0.075
587731186203951230	22.704	 0.371	19.027	 0.012
587731186203951384	22.647	 0.460	21.407	 0.088
587731186203951133	17.629	 0.011	15.636	 0.004
587731186203951392	22.275	 0.329	21.145	 0.069
588015509269381296	24.206	 1.359	24.444	 0.731
588015509269381299	21.919	 0.475	20.504	 0.069
588015509269381302	25.961	 3.658	19.683	 0.076
588015509269381305	22.413	 0.579	20.606	 0.059
588015509269381317	27.011	 0.705	27.173	 0.393
588015509269381319	26.068	 0.690	24.837	 0.765
588015509269381184	22.517	 0.419	19.253	 0.015
588015509269381323	22.968	 0.679	24.256	 0.789
588015509269381324	25.628	 0.988	23.043	 0.315
588015509269381327	25.954	 0.858	21.057	 0.064
588015509269381328	23.908	 1.338	22.008	 0.147
588015509269381333	22.722	 0.544	23.203	 0.386
588015509269381336	25.519	 1.201	20.986	 0.060
588015509269381193	20.001	 0.055	17.325	 0.006
588015509269381128	18.069	 0.016	15.265	 0.004
588015509269381633	22.554	 0.522	22.257	 0.199
588015509269381635	23.673	 1.267	21.351	 0.090
588015509269381636	25.755	 0.885	22.020	 0.128
588015509269381351	24.226	 1.484	26.400	 0.367
588015509269381363	25.758	 0.891	24.913	 0.759
588015509269381647	24.193	 1.492	22.115	 0.160
588015509269381648	22.886	 1.344	21.196	 0.150
588015509269381780	22.928	 0.639	22.684	 0.249
588015509269381652	24.218	 1.434	22.263	 0.171
588015509269381654	24.694	 1.598	22.592	 0.258
588015509269381656	25.399	 1.788	21.697	 0.158
588015509269381389	25.369	 1.361	22.179	 0.186
588015509269381660	25.883	 0.799	21.994	 0.126
588015509269381391	21.805	 0.454	19.841	 0.041
588015509269381394	25.082	 1.583	20.566	 0.046
588015509269381397	22.673	 0.575	21.075	 0.069
588015509269381398	26.721	 0.706	20.732	 0.076
588015509269381402	24.524	 1.420	23.896	 0.582
588015509269381404	24.282	 1.902	22.165	 0.207
588015509269381406	24.719	 1.675	24.313	 0.874
588015509269381414	24.102	 1.278	25.096	 0.743
588015509269381669	24.942	 1.829	21.947	 0.167

