,ID,Time,Filter,Flux,Freq,Lum,e_Lum,Lumkc,Lumbb,Tbb,maggies
0,AT2018bsi,42.09,UVW2,0.000265884,1.56879e+15,3.67420e+43,1.69203e+42,8.32532e+42,5.42463e+43,2.39699e+04,31.43826949063856
1,AT2018bsi,49.50,UVW2,0.000215126,1.56879e+15,2.97278e+43,1.36902e+42,6.32613e+42,4.53537e+43,2.50053e+04,31.668267744671155
2,AT2018bsi,49.67,UVW2,0.00020356,1.56879e+15,2.81296e+43,3.36808e+42,5.97918e+42,4.29437e+43,2.50251e+04,31.728268894496857
3,AT2018bsi,51.45,UVW2,0.000207344,1.56879e+15,2.86525e+43,2.11120e+42,5.99552e+42,4.41508e+43,2.53006e+04,31.70827131869774
4,AT2018bsi,51.64,UVW2,0.000225264,1.56879e+15,3.11289e+43,2.29366e+42,6.50348e+42,4.80124e+43,2.53285e+04,31.618270521029796
5,AT2018bsi,141.68,UVW2,5.87073e-05,1.56879e+15,8.11266e+42,1.49441e+42,1.29589e+42,1.59621e+43,3.14355e+04,33.07826973186393
6,AT2018bsi,310.31,UVW2,4.02432e-05,1.56879e+15,5.56113e+42,8.70739e+41,1.32724e+42,8.02934e+42,2.31840e+04,33.488268732461904
7,AT2018bsi,49.50,UVM2,0.000214438,1.41515e+15,2.73151e+43,1.00633e+42,6.42045e+42,4.60313e+43,2.50057e+04,31.67174562991106
8,AT2018bsi,49.68,UVM2,0.000230835,1.41515e+15,2.94038e+43,2.70819e+42,6.90494e+42,4.95937e+43,2.50254e+04,31.591745853235665
9,AT2018bsi,51.46,UVM2,0.000208594,1.41515e+15,2.65707e+43,1.71308e+42,6.15964e+42,4.53622e+43,2.53013e+04,31.70174546945214
10,AT2018bsi,51.64,UVM2,0.000188496,1.41515e+15,2.40106e+43,1.76917e+42,5.55898e+42,4.10423e+43,2.53292e+04,31.811744653384984
11,AT2018bsi,141.69,UVM2,4.6914e-05,1.41515e+15,5.97590e+42,1.21088e+42,1.10990e+42,1.36735e+43,3.14376e+04,33.321743841216225
12,AT2018bsi,310.32,UVM2,2.43951e-05,1.41515e+15,3.10745e+42,7.72757e+41,8.02579e+41,4.85517e+42,2.31837e+04,34.03174349323785
13,AT2018bsi,49.50,UVW1,0.000206529,1.26003e+15,2.17762e+43,1.80510e+42,5.89848e+42,4.22867e+43,2.50051e+04,31.71254739445363
14,AT2018bsi,49.67,UVW1,0.000218264,1.26003e+15,2.30135e+43,4.23924e+42,6.22899e+42,4.47372e+43,2.50250e+04,31.652544724981006
15,AT2018bsi,51.48,UVW1,0.000168648,1.26003e+15,1.77821e+43,2.29290e+42,4.76385e+42,3.50925e+43,2.53043e+04,31.932547011877936
16,AT2018bsi,51.63,UVW1,0.000230665,1.26003e+15,2.43210e+43,2.91206e+42,6.51006e+42,4.80585e+43,2.53279e+04,31.592545745600376
17,AT2018bsi,141.68,UVW1,5.48254e-05,1.26003e+15,5.78072e+42,1.91673e+42,1.30122e+42,1.60254e+43,3.14337e+04,33.15254547768702
18,AT2018bsi,310.31,UVW1,2.60005e-05,1.26003e+15,2.74146e+42,1.13624e+42,7.99642e+41,4.83768e+42,2.31842e+04,33.96254575073132
