,mjd,uJy,duJy,F,n,mag5sig
0,60295.48753325,6.75,7.137051211810099,c,4,20.018777956554885
1,60343.3660075,-8.75,6.628536791781426,c,4,20.09903081120508
2,60347.36771742856,8.142857142857142,6.544977822260175,c,7,20.112804540967595
3,60351.3427245,-5.75,7.386643351347079,c,4,19.981457162847896
4,60587.579818875005,-6.125,5.726855594477653,c,8,20.25778440841181
5,60591.586094,-12.5,7.9096460097781875,c,4,19.90718237063071
6,60595.54251199999,2.3333333333333335,7.909207011803115,c,3,19.907242632394926
7,60613.50901333333,-0.3333333333333333,6.741249472052228,c,3,20.08072399094993
8,60639.46687133333,5.0,7.9232428826698085,c,3,19.90531756618481
9,60643.485079,4.5,8.845903006477066,c,2,19.785719556386844
10,60647.460442125,2.125,4.910129835350589,c,8,20.424842549060877
11,60651.406079750006,-2.0,7.636262174650632,c,4,19.94537291279673
12,60303.490111800005,-3.2,13.987136947924691,o,5,19.288252921473394
13,60305.3766235,-12.0,29.34706118165838,o,2,18.483663445515347
14,60307.45735666666,8.0,14.007934259633798,o,3,19.28663975190717
15,60309.285822,-3.0,14.0,o,1,19.287254899964356
16,60311.47475999999,-7.333333333333333,12.188336865854815,o,3,19.437713866881627
17,60313.4204705,-3.0,12.379418403139947,o,2,19.420824385171887
18,60315.46146066667,11.333333333333334,8.743251365736,o,3,19.79839257816472
19,60317.471132599996,5.8,6.6452990903344595,o,5,20.096288658258523
20,60325.38076657142,-1.5714285714285714,5.960756012864304,o,7,20.21432162529893
21,60327.41490333333,15.0,9.492687243932094,o,3,19.709102058195164
22,60329.380225375004,10.5,6.347981962797311,o,8,20.14598577896739
23,60331.40294071428,-1.5714285714285714,11.572310372044935,o,7,19.494024806633057
24,60333.52256124999,18.0,15.91972047493297,o,4,19.14773639429589
25,60335.40646575,-23.25,28.67817114113102,o,4,18.50869635882538
26,60341.468787750004,-9.0,9.424038412485382,o,4,19.71698237007052
27,60355.32357,-3.75,8.37779804005802,o,4,19.844750272153036
28,60359.33745,-1.0,13.695345924802337,o,4,19.311142473198792
29,60363.3625265,-28.25,51.91037950159871,o,4,17.86443947943404
30,60367.384627142856,25.857142857142858,18.659680422488155,o,7,18.97531448548081
31,60371.319543000005,-11.5,8.551315688243536,o,4,19.822492640297156
32,60375.29266766666,3.1666666666666665,10.503967504392486,o,6,19.59919156533988
33,60385.3470025,-9.75,10.633085159068369,o,4,19.58592675890509
34,60387.267413571426,0.2857142857142857,9.75412000863518,o,7,19.679604752714894
35,60389.308395666674,-7.333333333333333,13.55646627177517,o,3,19.32220874443845
36,60391.28733225,-6.0,18.350749303502567,o,4,18.993440483666173
37,60397.348986,-4.0,14.428704030508076,o,4,19.254506676615886
38,60399.299608249996,0.0,7.0178344238090995,o,4,20.037067195617915
39,60401.2826665,-0.5,10.965856099730654,o,2,19.552468632852616
40,60404.280158999994,-3.3333333333333335,5.436502143433363,o,3,20.314276080170274
41,60407.266495,7.0,21.0,o,1,18.847026752325153
42,60410.28497566667,1.6666666666666667,5.773502691896258,o,3,20.24897655755953
43,60419.317858999995,8.5,13.908181045701124,o,4,19.294399150784685
44,60427.244644,-5.0,12.840366038396258,o,4,19.381131478466926
45,60431.24672899999,5.75,9.194087774216646,o,8,19.743803375256597
46,60453.248217500004,-12.0,33.94849039353591,o,2,18.325523821582845
47,60501.60812700001,-2.6666666666666665,21.328124364061853,o,3,18.830193328051
48,60505.5805865,8.0,14.142135623730951,o,2,19.276287494579975
49,60509.597969,-4.5,9.072623655812027,o,4,19.75824274877763
50,60521.585596000004,-16.0,14.422205101855956,o,2,19.2549958204565
51,60529.59166025,10.25,8.968695557326049,o,4,19.770751783849374
52,60533.52344675,-4.0,9.89002022242624,o,4,19.664582040126774
53,60537.58669800001,-6.6,9.549869109050658,o,5,19.702581441249432
54,60541.569472,-15.0,39.0,o,1,18.174913471593705
55,60544.615484,-15.0,32.0,o,1,18.389700043360186
56,60546.5869355,-11.5,22.299103120977758,o,2,18.78185649941436
57,60553.608781,-16.5,8.46684711093805,o,4,19.833270695103273
58,60571.58325225,15.0,21.98152633462927,o,4,18.79743037589165
59,60573.511974,26.0,28.0,o,1,18.534679910804403
60,60579.56042525,5.75,10.259142264341596,o,4,19.62479735852532
61,60585.580198,12.0,7.516648189186454,o,4,19.962514429385653
62,60589.5526995,5.5,9.154916711800277,o,4,19.74843899516536
63,60603.582392,-26.5,9.373333185158842,o,8,19.722839852253056
64,60607.538368,-14.333333333333334,21.031722072463143,o,3,18.845387903978985
65,60629.5156204,-28.0,15.770859202973057,o,5,19.157936602866034
66,60635.444580999996,1.6666666666666667,9.637888196533973,o,3,19.692620279160337
67,60637.533915,-10.5,22.788429081443944,o,4,18.7582890187688
68,60649.414211,-0.75,7.145802963978226,o,4,20.017447396814337
69,60653.52141133333,3.0,10.821788720498617,o,3,19.566827362363448
70,60655.498708,-7.0,15.36590742882148,o,3,19.186179457976195
