wl flux
3400.8 46.796
3401.9 47.334
3402.9 43.637
3404.0 43.008
3405.0 59.383
3406.1 49.669
3407.2 47.151
3408.2 47.596
3409.3 42.094
3410.3 42.83
3411.4 47.629
3412.4 49.667
3413.5 44.209
3414.5 39.773
3415.6 33.857
3416.7 41.737
3417.7 47.855
3418.8 48.147
3419.8 51.096
3420.9 49.118
3421.9 51.104
3423.0 50.748
3424.1 46.971
3425.1 44.969
3426.2 41.625
3427.2 45.508
3428.3 52.149
3429.3 48.39
3430.4 41.545
3431.5 39.752
3432.5 45.159
3433.6 51.295
3434.6 47.921
3435.7 37.675
3436.7 39.975
3437.8 39.497
3438.9 43.166
3439.9 46.001
3441.0 49.638
3442.0 56.4
3443.1 47.695
3444.1 39.684
3445.2 38.594
3446.3 41.955
3447.3 46.769
3448.4 45.912
3449.4 44.923
3450.5 49.115
3451.6 50.747
3452.6 47.458
3453.7 45.14
3454.7 49.121
3455.8 52.501
3456.9 42.704
3457.9 43.162
3459.0 46.601
3460.0 41.073
3461.1 43.49
3462.2 41.806
3463.2 43.192
3464.3 49.476
3465.3 48.378
3466.4 49.066
3467.5 46.789
3468.5 48.092
3469.6 42.959
3470.6 43.402
3471.7 44.264
3472.8 44.003
3473.8 44.043
3474.9 44.96
3475.9 42.659
3477.0 40.493
3478.1 34.545
3479.1 43.438
3480.2 46.016
3481.2 43.965
3482.3 46.281
3483.4 48.568
3484.4 43.32
3485.5 56.509
3486.6 46.006
3487.6 44.706
3488.7 38.074
3489.7 41.154
3490.8 41.215
3491.9 39.042
3492.9 42.989
3494.0 34.573
3495.0 39.654
3496.1 44.335
3497.2 37.556
3498.2 42.004
3499.3 41.604
3500.4 36.513
3501.4 38.241
3502.5 42.121
3503.5 43.708
3504.6 40.144
3505.7 44.735
3506.7 45.005
3507.8 39.886
3508.9 39.276
3509.9 41.781
3511.0 38.801
3512.1 42.218
3513.1 40.506
3514.2 38.646
3515.2 38.977
3516.3 39.148
3517.4 40.965
3518.4 39.71
3519.5 42.256
3520.6 41.093
3521.6 36.069
3522.7 41.845
3523.8 30.805
3524.8 43.733
3525.9 37.646
3526.9 43.135
3528.0 43.092
3529.1 53.323
3530.1 39.711
3531.2 37.537
3532.3 40.409
3533.3 42.948
3534.4 39.9
3535.5 47.175
3536.5 39.156
3537.6 42.108
3538.7 35.973
3539.7 34.173
3540.8 31.558
3541.9 42.412
3542.9 45.668
3544.0 39.623
3545.1 50.999
3546.1 42.305
3547.2 39.294
3548.3 35.625
3549.3 37.964
3550.4 39.43
3551.5 45.957
3552.5 34.205
3553.6 41.903
3554.7 38.597
3555.7 36.472
3556.8 35.461
3557.9 40.617
3558.9 38.33
3560.0 40.373
3561.1 36.464
3562.1 32.965
3563.2 36.454
3564.3 40.259
3565.3 39.815
3566.4 36.908
3567.5 37.845
3568.5 41.194
3569.6 35.828
3570.7 36.717
3571.7 39.164
3572.8 36.757
3573.9 34.077
3574.9 41.446
3576.0 37.53
3577.1 36.979
3578.1 31.328
3579.2 32.566
3580.3 40.441
3581.3 42.397
3582.4 35.501
3583.5 34.359
3584.5 37.506
3585.6 37.591
3586.7 37.853
3587.7 36.062
3588.8 31.755
3589.9 32.869
3590.9 34.139
3592.0 41.032
3593.1 36.911
3594.2 38.342
3595.2 43.367
3596.3 40.982
3597.4 35.516
3598.4 40.797
3599.5 44.156
3600.6 41.078
3601.6 36.603
