source_id	alpha	delta	g	r	i	mu_alpha*	mu_delta	D^a	
1450755118394910720	209.529019	26.471237	18.85	18.78	18.82	-1.23 +or- 0.462	-0.131 +or- 0.414	22.6	
1450750170592551040	209.529158	26.385552	18.86	18.75	18.80	-2.088 +or- 0.387	-0.468 +or- 0.364	26.9	
1450794460295316224	209.172508	26.415167	19.97	19.67	19.27	-0.02 +or- 0.589	-0.587 +or- 0.661	22.4	
1450793433798851328	209.204334	26.378583	19.52	18.91	18.70	-1.719 +or- 0.428	-1.247 +or- 0.426	24.1	
1451010170732704896	208.823004	26.797716	18.57	18.05	17.84	-1.261 +or- 0.248	-1.461 +or- 0.242	24.6	
1451011923079404544	208.854035	26.905210	18.85	18.90	18.98	-1.032 +or- 0.406	-0.8 +or- 0.397	24.1	
1450435091791688448	208.890655	26.424760	19.12	18.52	18.31	0.138 +or- 0.324	-2.964 +or- 0.301	29.7	
1451003917260608384	208.836855	26.663041	19.90	19.55	19.39	-2.176 +or- 0.885	-0.996 +or- 0.762	24.7	
1450820608056155648	209.204661	26.736842	19.74	19.29	19.08	-0.917 +or- 0.578	-0.51 +or- 0.472	4.7	
1450752026018903168	209.556687	26.444826	18.80	18.31	18.08	-1.435 +or- 0.287	-0.534 +or- 0.281	24.7	
1450830267438457344	209.612310	26.759489	19.42	18.95	18.74	-0.922 +or- 0.476	-0.931 +or- 0.381	17.8	
1450782713560551808	209.667235	26.695234	16.31	15.36	14.92	-1.199 +or- 0.065	-0.786 +or- 0.058	21.3	
1450809617235662336	209.382053	26.737508	17.83	17.12	16.81	-0.855 +or- 0.277	-1.699 +or- 0.252	5.9	
1450756767662816768	209.526091	26.552868	18.39	17.92	17.69	-1.292 +or- 0.224	-0.909 +or- 0.203	18.7	
1450757042540728960	209.504614	26.577302	19.38	18.93	18.67	-1.269 +or- 0.445	-0.69 +or- 0.396	16.9	
1451043602758623232	209.092316	27.092680	18.49	17.84	17.55	-0.695 +or- 0.313	-1.039 +or- 0.28	21.6	
1451046076659819776	209.245742	27.212404	18.91	19.00	19.16	-2.493 +or- 0.521	-1.649 +or- 0.411	26.3	
1451047760286978176	209.342306	27.142651	18.04	17.39	17.13	0.353 +or- 0.189	-1.49 +or- 0.155	22.3	
1451047794646719104	209.354036	27.153785	19.36	18.91	18.74	-2.63 +or- 0.476	-2.82 +or- 0.405	23.1	
1451039548309484288	209.215315	27.031907	19.11	19.25	18.89	0.571 +or- 0.542	-0.179 +or- 0.479	15.8	
1450858678646760192	209.435281	27.067580	18.92	18.72	18.66	-1.641 +or- 0.392	-1.876 +or- 0.322	19.4	
1450833596037626752	209.396603	26.812921	18.44	17.90	17.63	-1.152 +or- 0.23	-0.716 +or- 0.215	6.6	
1450843049261137408	209.689069	26.969028	18.79	18.07	18.10	-0.356 +or- 0.245	0.497 +or- 0.232	24.8	
