# t_days    q_GHz   F_uJy   dF_uJy
8   15  32.6    7.8
8 13  35.9    16.5
8 15  25.6    10.4
8 17  26.9    16.8
8 90.5    94.7    30.4
8 92.43   106.5   26
8 102.5   109.7   25.4
8 104.5   110.5   26.6
8   97.5    104.4   14.2
29  9   92.8    11.9
29  11  149 14.6
29  13  302.2   20.8
29  15  378 24.9
29  17  445.2   25.3
31    90.5    777.4   50.1
31    92.43   785.7   33.2
31    102.5   680.4   38.4
31    104.5   575.7   40.1
31  97.5    711.8   23
32    224 260.7   52.3
32    226 315.3   43.2
32    240 217 41.2
32    242 245.1   53.1
32  233 254.9   28
42  90.52   1340.1  27.7
42  92.42   1312.4  42.4
42  102.52  1124.8  33.4
42  104.48  1092.7  33
42    97.5    1213.5  18.5
41    224 319.7   32.4
41    226 349.4   27
41    240 313.8   24
41    242 221.4   28.2
41  233 305.3   14.3
55  5   147 43.1
55  7   375.3   28.4
55  9   645.4   30.6
55  13  1170.4  30.6
55  15  1321.9  18.8
55  17  1503.2  39.4
55  19  1613.4  56.2
55  21  1751.9  55.1
55  23  1803.1  63
55  25  1811.3  40
55  30  1756.6  36.4
55  32  1730    45.2
55  34  1640.5  46.6
55  36  1683    59.7
59    90.53   541.5   25.5
59    92.42   542.7   25.1
59    102.53  427.8   41
59    104.49  400.7   36.2
59  97.5    471.2   15.8
79  5   404.9   38.2
79  7   782.7   23.4
79  9   1329.8  19.7
79  13  1984.3  43.6
79  15  1982.1  48.4
79  17  2034.9  57.6
79  19  2102.6  41.9
79  21  2069.2  45.4
79  23  1994.9  65.8
79  25  1873.3  59.2
79  30  1586.4  51.4
79  32  1497.9  30.6
79  34  1433    56.2
79  36  1296.5  57.7
76    90.53   496.5   24.7
76    92.42   443.5   27.9
76    102.53  387.7   35.8
76    104.49  301 31.6
76  97.5    408.8   15.2
74    224.02  169.9   42.4
74    226.02  106.9   37.6
74    240.02  80.9    40.3
74    242.02  101.6   54.3
74  233 117.3   21
127 5   1405.6  27.4
127 7   1987.8  36.1
127 9   2400.3  20
127 11  2343    93
127 13  2527.5  36.3
127 15  2373.3  30.1
127 17  2133    35.9
127 19  1939.1  35.3
127 21  1629.4  38.5
127 23  1527.7  27.7
127 25  1310.4  35.2
127   30  966.6   32.7
127   32  824.8   36.7
127   34  738.7   42.9
127   36  695.7   51.1
127 33  849.7   30.4
129   90.54   378.7   32.5
129   92.43   325.2   42.4
129   102.54  317.6   50
129   104.49  260.5   41.6
129 97.5    310.2   22
237 2.6 1085.2  90.6
237 3.4 1396.4  101.1
237 5   1640    48.9
237 7   1426.9  44.1
237 9   810.9   95.5
237 11  568.7   102.9
237 13  365.2   59.5
237 15  305.7   51
237 17  173 40.7
237 19  194.5   45.4
237 21  137.5   55.7
237 23  108.6   51.1
237 25  104 45.6
