t	Facility	Frequency	Flux Density	
(days)		(GHz)	(mJy)	
6.79	EVLA	1.4	0.21 +or- 0.08	
126.59	EVLA	1.4	1.10 +or- 0.10	
174.47	EVLA	1.4	1.60 +or- 0.11	
197.41	EVLA	1.4	1.80 +or- 0.10	
3.87	EVLA	4.9	0.25 +or- 0.02	
4.76	EVLA	4.9	0.34 +or- 0.02	
5.00	EVLA	4.9	0.34 +or- 0.02	
5.79	EVLA	4.9	0.61 +or- 0.02	
6.78	EVLA	4.9	0.82 +or- 0.02	
7.77	EVLA	4.9	1.48 +or- 0.02	
9.79	EVLA	4.9	1.47 +or- 0.02	
14.98	EVLA	4.9	1.80 +or- 0.03	
22.78	EVLA	4.9	2.10 +or- 0.01	
35.86	EVLA	4.9	4.62 +or- 0.02	
50.65	EVLA	4.9	4.84 +or- 0.03	
67.61	EVLA	4.9	5.86 +or- 0.03	
94.64	EVLA	4.9	9.06 +or- 0.03	
111.62	EVLA	4.9	9.10 +or- 0.03	
126.51	EVLA	4.9	9.10 +or- 0.03	
143.62	EVLA	4.9	11.71 +or- 0.03	
164.38	EVLA	4.9	12.93 +or- 0.05	
174.47	EVLA	4.9	12.83 +or- 0.06	
197.41	EVLA	4.9	13.29 +or- 0.03	
213.32	EVLA	4.9	12.43 +or- 0.04	
3.87	EVLA	6.7	0.38 +or- 0.02	
4.76	EVLA	6.7	0.63 +or- 0.02	
5.00	EVLA	6.7	0.64 +or- 0.02	
5.79	EVLA	6.7	1.16 +or- 0.02	
6.79	EVLA	6.7	1.47 +or- 0.02	
7.77	EVLA	6.7	1.50 +or- 0.02	
9.79	EVLA	6.7	2.15 +or- 0.02	
14.98	EVLA	6.7	3.79 +or- 0.03	
22.78	EVLA	6.7	3.44 +or- 0.01	
35.86	EVLA	6.7	6.39 +or- 0.02	
50.65	EVLA	6.7	5.70 +or- 0.02	
67.61	EVLA	6.7	8.94 +or- 0.03	
94.64	EVLA	6.7	13.43 +or- 0.03	
111.62	EVLA	6.7	13.66 +or- 0.03	
126.51	EVLA	6.7	14.16 +or- 0.04	
143.62	EVLA	6.7	16.85 +or- 0.04	
164.38	EVLA	6.7	18.27 +or- 0.06	
174.47	EVLA	6.7	19.59 +or- 0.16	
197.41	EVLA	6.7	19.34 +or- 0.03	
