t	Frequency	Flux Density	
(days)	(GHz)	(mJy)	
1105.0	1.3	1.85 +or- 0.12	
1894.0	1.4	1.94 +or- 0.11	
1032.0	1.6	3.27 +or- 0.10	
1105.0	1.6	2.85 +or- 0.12	
1373.0	1.6	1.93 +or- 0.10	
1894.0	1.6	2.17 +or- 0.07	
787.6	1.8	2.40 +or- 0.09	
651.1	2.6	7.98 +or- 0.05	
1105.0	2.6	4.05 +or- 0.08	
1373.0	2.6	2.76 +or- 0.19	
1894.0	2.6	2.08 +or- 0.03	
651.1	3.4	8.78 +or- 0.04	
1105.0	3.4	3.97 +or- 0.08	
1373.0	3.4	2.65 +or- 0.18	
1894.0	3.4	1.88 +or- 0.02	
645.0	4.9	8.24 +or- 0.05	
651.1	4.9	8.63 +or- 0.05	
787.6	4.9	6.23 +or- 0.18	
1032.0	4.9	4.21 +or- 0.02	
1105.0	4.9	3.52 +or- 0.05	
1373.0	4.9	2.34 +or- 0.05	
1894.0	4.9	1.47 +or- 0.02	
645.0	7.1	6.91 +or- 0.06	
787.6	7.1	5.18 +or- 0.16	
651.1	7.1	7.19 +or- 0.05	
1032.0	7.1	3.43 +or- 0.03	
1105.0	7.1	2.64 +or- 0.06	
1373.0	7.1	1.82 +or- 0.04	
1894.0	7.1	1.15 +or- 0.02	
651.1	8.5	5.99 +or- 0.06	
1029.0	8.5	3.13 +or- 0.02	
1373.0	8.5	1.48 +or- 0.05	
1894.0	8.5	0.93 +or- 0.02	
651.1	10.9	5.05 +or- 0.06	
1029.0	10.9	2.56 +or- 0.03	
1351.0	10.9	1.20 +or- 0.06	
1894.0	10.9	0.76 +or- 0.03	
1029.0	13.5	2.05 +or- 0.03	
1029.0	14.5	1.92 +or- 0.02	
639.0	19.2	3.17 +or- 0.03	
787.6	19.2	2.40 +or- 0.03	
1029.0	19.2	1.44 +or- 0.02	
1093.0	19.2	1.16 +or- 0.04	
1351.0	19.2	0.73 +or- 0.04	
1890.0	19.2	0.45 +or- 0.05	
639.0	24.5	2.52 +or- 0.03	
787.6	24.5	1.88 +or- 0.03	
1029.0	24.5	1.15 +or- 0.02	
1093.0	24.5	0.92 +or- 0.07	
1890.0	24.5	0.37 +or- 0.06	
639.0	30	1.88 +or- 0.09	
639.0	37	1.53 +or- 0.11	
