t	Facility	Frequency	Flux Density	
(days)	(GHz)	(mJy)	
244.23	JVLA	1.8	 2.29 +or- 0.08	
271.95	JVLA	1.8	 2.02 +or- 0.23	
383.92	JVLA	1.8	 4.37 +or- 0.10	
452.66	JVLA	1.8	 3.77 +or- 0.09	
581.31	JVLA	1.8	 2.88 +or- 0.08	
245.23	JVLA	4.9	12.17 +or- 0.05	
302.95	JVLA	4.9	12.05 +or- 0.05	
383.92	JVLA	4.9	12.24 +or- 0.03	
453.66	JVLA	4.9	11.12 +or- 0.03	
582.31	JVLA	4.9	 8.90 +or- 0.03	
245.23	JVLA	6.7	16.75 +or- 0.06	
302.95	JVLA	6.7	15.30 +or- 0.08	
383.92	JVLA	6.7	14.40 +or- 0.03	
453.66	JVLA	6.7	11.76 +or- 0.02	
582.31	JVLA	6.7	 8.18 +or- 0.02	
243.09	JVLA	8.6	20.76 +or- 0.24	
394.72	JVLA	8.6	13.84 +or- 0.03	
460.67	JVLA	8.6	10.89 +or- 0.03	
582.21	JVLA	8.6	 7.14 +or- 0.03	
240.25	AMI-LA	15.4	22.06 +or- 0.52	
247.97	AMI-LA	15.4	22.99 +or- 1.20	
258.65	AMI-LA	15.4	21.70 +or- 1.03	
267.86	AMI-LA	15.4	20.45 +or- 0.77	
270.03	AMI-LA	15.4	21.60 +or- 0.13	
273.90	AMI-LA	15.4	22.11 +or- 0.38	
275.76	AMI-LA	15.4	18.84 +or- 0.59	
278.91	AMI-LA	15.4	21.38 +or- 0.22	
279.86	AMI-LA	15.4	20.62 +or- 0.36	
282.87	AMI-LA	15.4	20.36 +or- 0.08	
289.92	AMI-LA	15.4	18.68 +or- 0.22	
295.62	AMI-LA	15.4	20.04 +or- 0.45	
302.98	AMI-LA	15.4	17.31 +or- 0.21	
312.79	AMI-LA	15.4	19.21 +or- 0.35	
327.81	AMI-LA	15.4	15.58 +or- 0.14	
330.81	AMI-LA	15.4	14.99 +or- 0.12	
332.80	AMI-LA	15.4	14.94 +or- 0.22	
336.81	AMI-LA	15.4	14.10 +or- 0.22	
339.73	AMI-LA	15.4	14.55 +or- 0.07	
344.72	AMI-LA	15.4	12.53 +or- 1.85	
347.79	AMI-LA	15.4	13.39 +or- 0.07	
357.53	AMI-LA	15.4	12.75 +or- 1.01	
364.66	AMI-LA	15.4	12.66 +or- 0.24	
367.72	AMI-LA	15.4	12.06 +or- 0.05	
371.68	AMI-LA	15.4	11.57 +or- 0.91	
373.63	AMI-LA	15.4	11.76 +or- 0.11	
378.65	AMI-LA	15.4	10.66 +or- 0.69	
386.44	AMI-LA	15.4	10.62 +or- 0.54	
394.66	AMI-LA	15.4	 9.90 +or- 0.11	
422.84	AMI-LA	15.4	 8.92 +or- 0.48	
438.64	AMI-LA	15.4	 8.85 +or- 0.30	
444.53	AMI-LA	15.4	 8.00 +or- 0.36	
447.52	AMI-LA	15.4	 8.87 +or- 0.93	
450.46	AMI-LA	15.4	 7.57 +or- 0.20	
457.60	AMI-LA	15.4	 8.05 +or- 0.20	
463.22	AMI-LA	15.4	 7.09 +or- 0.64	
470.48	AMI-LA	15.4	 6.90 +or- 0.01	
477.54	AMI-LA	15.4	 6.91 +or- 0.55	
479.47	AMI-LA	15.4	 6.36 +or- 0.67	
488.49	AMI-LA	15.4	 7.01 +or- 0.26	
492.42	AMI-LA	15.4	 6.88 +or- 0.37	
499.30	AMI-LA	15.4	 5.78 +or- 0.03	
502.36	AMI-LA	15.4	 6.54 +or- 0.76	
513.76	AMI-LA	15.4	 6.00 +or- 0.77	
522.32	AMI-LA	15.4	 5.38 +or- 0.64	
525.29	AMI-LA	15.4	 5.47 +or- 0.42	
528.25	AMI-LA	15.4	 5.55 +or- 0.20	
534.40	AMI-LA	15.4	 6.00 +or- 0.10	
538.26	AMI-LA	15.4	 5.36 +or- 0.43	
550.31	AMI-LA	15.4	 5.16 +or- 0.35	
552.13	AMI-LA	15.4	 4.72 +or- 0.25	
567.36	AMI-LA	15.4	 4.46 +or- 0.24	
592.10	AMI-LA	15.4	 4.51 +or- 0.27	
243.09	JVLA	19.1	21.89 +or- 0.10	
298.96	JVLA	19.1	15.75 +or- 0.06	
394.72	JVLA	19.1	 8.46 +or- 0.03	
460.67	JVLA	19.1	 6.03 +or- 0.03	
582.21	JVLA	19.1	 3.94 +or- 0.03	
243.09	JVLA	24.4	20.65 +or- 0.11	
298.96	JVLA	24.4	13.64 +or- 0.06	
394.72	JVLA	24.4	 6.77 +or- 0.04	
460.67	JVLA	24.4	 4.83 +or- 0.03	
582.21	JVLA	24.4	 3.26 +or- 0.03	
394.72	JVLA	33.4	 5.26 +or- 0.04	
460.67	JVLA	33.4	 3.58 +or- 0.04	
582.21	JVLA	33.4	 2.41 +or- 0.05	
243.09	JVLA	43.6	13.63 +or- 0.19	
298.96	JVLA	43.6	 7.86 +or- 0.14	
