t   q   F   dF  det obs band    refs
16.06018148 3.0000E+10  1512.2  44.9    1   VLA A1  0
16.06018148 3.2000E+10  1650.9  42.1    1   VLA A2  0
16.06018148 3.4000E+10  1823.8  61.9    1   VLA A3  0
16.06018148 3.6000E+10  1888.4  83.4    1   VLA A4  0
16.08547083 1.9063E+10  667 48  1   VLA K1  0
16.08547083 2.0999E+10  875 47  1   VLA K2  0
16.08547083 2.2999E+10  959 44  1   VLA K3  0
16.08547083 2.4936E+10  1088    64  1   VLA K4  0
16.10486898 1.3000E+10  314 17  1   VLA U1  0
16.10486898 1.5000E+10  434 26  1   VLA U2  0
16.10486898 1.7000E+10  543 28  1   VLA U3  0
16.1149037  8.9990E+09  154 16  1   VLA X1  0
16.1149037  1.0999E+10  243 21  1   VLA X2  0
16.13082963 4.9990E+09  79  26  1   VLA C1  0
16.13082963 6.9990E+09  120 25  1   VLA C2  0
# 19.8572   9.0515E+10  4889    38  1   ALMA    3mm0    0
# 19.8572   9.2410E+10  4913    41  1   ALMA    3mm1    0
# 19.8572   1.0251E+11  4933    46  1   ALMA    3mm2    0
# 19.8572   1.0447E+11  4939    45  1   ALMA    3mm3    0
19.8572347222216    9.7493E+10  4922    25  1   ALMA    3mm 0
# 22.8217   9.0515E+10  4824    36  1   ALMA    3mm0    0
# 22.8217   9.2410E+10  4816    36  1   ALMA    3mm1    0
# 22.8217   1.0251E+11  4799    41  1   ALMA    3mm2    0
# 22.8217   1.0447E+11  4771    40  1   ALMA    3mm3    0
22.82170231481  9.7494E+10  4801    23  1   ALMA    3mm 0
# 22.8597   9.0515E+10  4879    34  1   ALMA    3mm0    0
# 22.8597   9.2410E+10  4903    37  1   ALMA    3mm1    0
# 22.8597   1.0251E+11  4852    38  1   ALMA    3mm2    0
# 22.8597   1.0447E+11  4944    38  1   ALMA    3mm3    0
22.859716203704 9.7494E+10  4896    22  1   ALMA    3mm 0
#21.8462177469119   9.7500E+10  4703.4  44.6    1   ALMA    3mm 0
37.83550556 8.9990E+09  267.8   18.1    1   VLA X1  0
37.83550556 1.0999E+10  387.4   19.5    1   VLA X2  0
37.85523935 4.9990E+09  94.8    17.2    1   VLA C1  0
37.85523935 6.9990E+09  153 12.2    1   VLA C2  0
# 24.8616   2.2399E+11  2885    47  1   ALMA    1mm0    0
# 24.8616   2.2599E+11  2872    47  1   ALMA    1mm1    0
# 24.8616   2.3998E+11  2730    54  1   ALMA    1mm2    0
# 24.8616   2.4198E+11  2621    53  1   ALMA    1mm3    0
24.8616490740678    2.3299E+11  2795    28  1   ALMA    1mm 0
# 25.8375   2.2399E+11  3014    44  1   ALMA    1mm0    0
# 25.8375   2.2599E+11  2933    41  1   ALMA    1mm1    0
# 25.8375   2.3999E+11  2717    49  1   ALMA    1mm2    0
# 25.8375   2.4198E+11  2730    53  1   ALMA    1mm3    0
25.8374893518485    2.3300E+11  2840    26  1   ALMA    1mm 0
# 46.7591   2.2399E+11  1218    31  1   ALMA    1mm0    0
# 46.7591   2.2599E+11  1195    29  1   ALMA    1mm1    0
